	Chembl_Id
1042	CHEMBL1082095
1043	CHEMBL1082096
1044	CHEMBL1082104
1045	CHEMBL1082105
1046	CHEMBL1082119
1047	CHEMBL1082138
1048	CHEMBL1082187
1049	CHEMBL1082252
1050	CHEMBL1082411
1051	CHEMBL1082412
1052	CHEMBL1082453
1053	CHEMBL1082538
1054	CHEMBL1082552
1055	CHEMBL1082553
1056	CHEMBL1082561
1057	CHEMBL1082601
1058	CHEMBL1082731
1059	CHEMBL1082732
1060	CHEMBL1082733
1061	CHEMBL1082734
1062	CHEMBL1082736
1063	CHEMBL1082870
1064	CHEMBL1082871
1065	CHEMBL108299
1066	CHEMBL1083043
1067	CHEMBL1083044
1068	CHEMBL1083045
1069	CHEMBL1083046
1070	CHEMBL1083047
1071	CHEMBL1083048
1072	CHEMBL108309
1073	CHEMBL1083093
1074	CHEMBL1083201
1075	CHEMBL1083218
1076	CHEMBL1083355
1077	CHEMBL1083452
1078	CHEMBL1083495
1079	CHEMBL1083511
1080	CHEMBL1083808
1081	CHEMBL1083811
1082	CHEMBL1083818
1083	CHEMBL1083819
1084	CHEMBL1083820
1085	CHEMBL1083821
1086	CHEMBL1084102
1087	CHEMBL1084119
1088	CHEMBL1084252
1089	CHEMBL1084253
1090	CHEMBL1084280
1091	CHEMBL108436
1092	CHEMBL1084416
1093	CHEMBL1084417
1094	CHEMBL1084443
1095	CHEMBL1084524
1096	CHEMBL1084606
1097	CHEMBL1084607
1098	CHEMBL108461
1099	CHEMBL1084610
1100	CHEMBL1084665
1101	CHEMBL1084666
1102	CHEMBL1084852
1103	CHEMBL1084853
1104	CHEMBL1084854
1105	CHEMBL1084855
1106	CHEMBL1084907
1107	CHEMBL1084909
1108	CHEMBL1084910
1109	CHEMBL1084914
1110	CHEMBL1084915
1111	CHEMBL1084916
1112	CHEMBL1084923
1113	CHEMBL1084924
1114	CHEMBL1085045
1115	CHEMBL108505
1116	CHEMBL1085168
1117	CHEMBL1085179
1118	CHEMBL1085415
1119	CHEMBL1085416
1120	CHEMBL1085417
1121	CHEMBL1085427
1122	CHEMBL1085428
1123	CHEMBL1085430
1124	CHEMBL1085443
1125	CHEMBL1085679
1126	CHEMBL1085910
1127	CHEMBL1085911
1128	CHEMBL1085916
1129	CHEMBL1085917
1130	CHEMBL1086147
1131	CHEMBL1086150
1132	CHEMBL1086155
1133	CHEMBL1086165
1134	CHEMBL1086218
1135	CHEMBL108633
1136	CHEMBL1086392
1137	CHEMBL1086393
1138	CHEMBL1086396
1139	CHEMBL1086500
1140	CHEMBL1086596
1141	CHEMBL1086597
1142	CHEMBL1086604
1143	CHEMBL1086619
1144	CHEMBL1086620
1145	CHEMBL1086631
1146	CHEMBL1086632
1147	CHEMBL1086650
1148	CHEMBL1086651
1149	CHEMBL1086654
1150	CHEMBL1086737
1151	CHEMBL1086747
1152	CHEMBL1086748
1153	CHEMBL1086760
